Points,3000m,3000m sh,2 Miles,2 Miles sh,5000m,5000m sh,10000m,600m,600m sh,800m,800m sh,1000m,1000m sh,1500m,1500m sh,Mile,Mile sh,2000m,2000m sh,2000m SC,3000m SC
1044,8:02.09,8:05.80,8:39.43,8:46.47,13:46.96,14:00.00,28:58.48,1:17.47,1:19.26,1:49.38,1:51.27,2:21.08,2:24.26,3:44.76,3:48.33,4:02.53,4:06.79,5:09.21,5:13.07,5:40.54,8:48.17
1045,8:01.92,8:05.64,8:39.25,8:46.29,13:46.67,13:59.71,28:57.81,1:17.44,1:19.23,1:49.35,1:51.24,2:21.03,2:24.21,3:44.68,3:48.26,4:02.45,4:06.71,5:09.10,5:12.96,5:40.39,8:47.94
1046,8:01.74,8:05.47,8:39.06,8:46.11,13:46.37,13:59.42,28:57.13,1:17.42,1:19.21,1:49.31,1:51.20,2:20.98,2:24.16,3:44.60,3:48.18,4:02.37,4:06.63,5:09.00,5:12.86,5:40.23,8:47.70
1047,8:01.57,8:05.30,8:38.88,8:45.92,13:46.08,13:59.13,28:56.46,1:17.39,1:19.18,1:49.28,1:51.17,2:20.94,2:24.12,3:44.53,3:48.11,4:02.28,4:06.55,5:08.89,5:12.76,5:40.08,8:47.47
1048,8:01.40,8:05.13,8:38.69,8:45.74,13:45.79,13:58.85,28:55.78,1:17.37,1:19.16,1:49.24,1:51.13,2:20.89,2:24.07,3:44.45,3:48.03,4:02.20,4:06.47,5:08.79,5:12.65,5:39.93,8:47.23
1049,8:01.23,8:04.96,8:38.51,8:45.56,13:45.50,13:58.56,28:55.11,1:17.34,1:19.13,1:49.21,1:51.10,2:20.85,2:24.03,3:44.37,3:47.96,4:02.12,4:06.39,5:08.68,5:12.55,5:39.77,8:46.99
1050,8:01.06,8:04.79,8:38.32,8:45.38,13:45.20,13:58.27,28:54.43,1:17.32,1:19.11,1:49.17,1:51.06,2:20.80,2:23.98,3:44.30,3:47.88,4:02.04,4:06.31,5:08.58,5:12.45,5:39.62,8:46.76
1051,8:00.89,8:04.62,8:38.14,8:45.20,13:44.91,13:57.99,28:53.76,1:17.29,1:19.08,1:49.14,1:51.03,2:20.75,2:23.94,3:44.22,3:47.81,4:01.95,4:06.23,5:08.48,5:12.35,5:39.47,8:46.53
1052,8:00.72,8:04.45,8:37.96,8:45.02,13:44.62,13:57.70,28:53.09,1:17.27,1:19.06,1:49.10,1:50.99,2:20.71,2:23.89,3:44.14,3:47.73,4:01.87,4:06.15,5:08.37,5:12.24,5:39.32,8:46.29
1053,8:00.55,8:04.28,8:37.77,8:44.83,13:44.32,13:57.41,28:52.41,1:17.24,1:19.03,1:49.07,1:50.96,2:20.66,2:23.84,3:44.07,3:47.66,4:01.79,4:06.07,5:08.27,5:12.14,5:39.16,8:46.06
1054,8:00.38,8:04.11,8:37.59,8:44.65,13:44.03,13:57.13,28:51.74,1:17.22,1:19.01,1:49.03,1:50.92,2:20.62,2:23.80,3:43.99,3:47.58,4:01.71,4:05.99,5:08.16,5:12.04,5:39.01,8:45.82
1055,8:00.21,8:03.94,8:37.40,8:44.47,13:43.74,13:56.84,28:51.07,1:17.20,1:18.98,1:49.00,1:50.89,2:20.57,2:23.75,3:43.91,3:47.51,4:01.63,4:05.91,5:08.06,5:11.94,5:38.86,8:45.59
1056,8:00.04,8:03.78,8:37.22,8:44.29,13:43.45,13:56.56,28:50.39,1:17.17,1:18.96,1:48.97,1:50.85,2:20.52,2:23.71,3:43.84,3:47.43,4:01.54,4:05.83,5:07.95,5:11.83,5:38.71,8:45.35
1057,7:59.87,8:03.61,8:37.04,8:44.11,13:43.16,13:56.27,28:49.72,1:17.15,1:18.93,1:48.93,1:50.82,2:20.48,2:23.66,3:43.76,3:47.35,4:01.46,4:05.75,5:07.85,5:11.73,5:38.56,8:45.12
1058,7:59.70,8:03.44,8:36.85,8:43.93,13:42.86,13:55.99,28:49.05,1:17.12,1:18.91,1:48.90,1:50.79,2:20.43,2:23.62,3:43.69,3:47.28,4:01.38,4:05.67,5:07.75,5:11.63,5:38.40,8:44.88
1059,7:59.52,8:03.27,8:36.67,8:43.75,13:42.57,13:55.70,28:48.38,1:17.10,1:18.89,1:48.86,1:50.75,2:20.39,2:23.57,3:43.61,3:47.20,4:01.30,4:05.59,5:07.64,5:11.53,5:38.25,8:44.65
1060,7:59.35,8:03.10,8:36.49,8:43.57,13:42.28,13:55.41,28:47.71,1:17.07,1:18.86,1:48.83,1:50.72,2:20.34,2:23.53,3:43.53,3:47.13,4:01.22,4:05.51,5:07.54,5:11.42,5:38.10,8:44.42
1061,7:59.18,8:02.93,8:36.30,8:43.38,13:41.99,13:55.13,28:47.04,1:17.05,1:18.84,1:48.79,1:50.68,2:20.29,2:23.48,3:43.46,3:47.06,4:01.13,4:05.43,5:07.43,5:11.32,5:37.95,8:44.18
1062,7:59.01,8:02.76,8:36.12,8:43.20,13:41.70,13:54.84,28:46.37,1:17.02,1:18.81,1:48.76,1:50.65,2:20.25,2:23.43,3:43.38,3:46.98,4:01.05,4:05.35,5:07.33,5:11.22,5:37.80,8:43.95
1063,7:58.84,8:02.60,8:35.94,8:43.02,13:41.41,13:54.56,28:45.70,1:17.00,1:18.79,1:48.72,1:50.61,2:20.20,2:23.39,3:43.31,3:46.91,4:00.97,4:05.27,5:07.23,5:11.12,5:37.64,8:43.72
1064,7:58.67,8:02.43,8:35.76,8:42.84,13:41.12,13:54.28,28:45.03,1:16.97,1:18.76,1:48.69,1:50.58,2:20.16,2:23.34,3:43.23,3:46.83,4:00.89,4:05.19,5:07.12,5:11.02,5:37.49,8:43.48
1065,7:58.51,8:02.26,8:35.57,8:42.66,13:40.83,13:53.99,28:44.36,1:16.95,1:18.74,1:48.65,1:50.54,2:20.11,2:23.30,3:43.15,3:46.76,4:00.81,4:05.11,5:07.02,5:10.91,5:37.34,8:43.25
1066,7:58.34,8:02.09,8:35.39,8:42.48,13:40.54,13:53.71,28:43.69,1:16.92,1:18.71,1:48.62,1:50.51,2:20.07,2:23.25,3:43.08,3:46.68,4:00.72,4:05.03,5:06.91,5:10.81,5:37.19,8:43.02
1067,7:58.17,8:01.92,8:35.21,8:42.30,13:40.25,13:53.42,28:43.02,1:16.90,1:18.69,1:48.59,1:50.47,2:20.02,2:23.21,3:43.00,3:46.61,4:00.64,4:04.95,5:06.81,5:10.71,5:37.04,8:42.78
1068,7:58.00,8:01.76,8:35.03,8:42.12,13:39.96,13:53.14,28:42.35,1:16.87,1:18.66,1:48.55,1:50.44,2:19.97,2:23.16,3:42.93,3:46.53,4:00.56,4:04.87,5:06.71,5:10.61,5:36.89,8:42.55
1069,7:57.83,8:01.59,8:34.84,8:41.94,13:39.67,13:52.85,28:41.68,1:16.85,1:18.64,1:48.52,1:50.41,2:19.93,2:23.12,3:42.85,3:46.46,4:00.48,4:04.79,5:06.60,5:10.51,5:36.74,8:42.32
1070,7:57.66,8:01.42,8:34.66,8:41.76,13:39.37,13:52.57,28:41.01,1:16.82,1:18.62,1:48.48,1:50.37,2:19.88,2:23.07,3:42.77,3:46.38,4:00.40,4:04.71,5:06.50,5:10.41,5:36.58,8:42.08
1071,7:57.49,8:01.25,8:34.48,8:41.58,13:39.09,13:52.29,28:40.35,1:16.80,1:18.59,1:48.45,1:50.34,2:19.84,2:23.03,3:42.70,3:46.31,4:00.32,4:04.63,5:06.40,5:10.30,5:36.43,8:41.85
1072,7:57.32,8:01.09,8:34.30,8:41.40,13:38.80,13:52.00,28:39.68,1:16.78,1:18.57,1:48.41,1:50.30,2:19.79,2:22.98,3:42.62,3:46.23,4:00.23,4:04.55,5:06.29,5:10.20,5:36.28,8:41.62
1073,7:57.15,8:00.92,8:34.11,8:41.22,13:38.51,13:51.72,28:39.01,1:16.75,1:18.54,1:48.38,1:50.27,2:19.75,2:22.94,3:42.55,3:46.16,4:00.15,4:04.47,5:06.19,5:10.10,5:36.13,8:41.39
1074,7:56.98,8:00.75,8:33.93,8:41.04,13:38.22,13:51.44,28:38.35,1:16.73,1:18.52,1:48.35,1:50.23,2:19.70,2:22.89,3:42.47,3:46.08,4:00.07,4:04.39,5:06.09,5:10.00,5:35.98,8:41.15
1075,7:56.81,8:00.58,8:33.75,8:40.86,13:37.93,13:51.15,28:37.68,1:16.70,1:18.49,1:48.31,1:50.20,2:19.66,2:22.85,3:42.39,3:46.01,3:59.99,4:04.31,5:05.98,5:09.90,5:35.83,8:40.92
1076,7:56.64,8:00.42,8:33.57,8:40.68,13:37.64,13:50.87,28:37.01,1:16.68,1:18.47,1:48.28,1:50.17,2:19.61,2:22.80,3:42.32,3:45.94,3:59.91,4:04.23,5:05.88,5:09.80,5:35.68,8:40.69
1077,7:56.47,8:00.25,8:33.39,8:40.50,13:37.35,13:50.59,28:36.35,1:16.65,1:18.44,1:48.24,1:50.13,2:19.56,2:22.75,3:42.24,3:45.86,3:59.83,4:04.15,5:05.78,5:09.70,5:35.53,8:40.46
1078,7:56.31,8:00.08,8:33.20,8:40.32,13:37.06,13:50.30,28:35.68,1:16.63,1:18.42,1:48.21,1:50.10,2:19.52,2:22.71,3:42.17,3:45.79,3:59.75,4:04.07,5:05.67,5:09.59,5:35.38,8:40.23
1079,7:56.14,7:59.92,8:33.02,8:40.14,13:36.77,13:50.02,28:35.02,1:16.60,1:18.40,1:48.17,1:50.06,2:19.47,2:22.66,3:42.09,3:45.71,3:59.66,4:03.99,5:05.57,5:09.49,5:35.23,8:40.00
1080,7:55.97,7:59.75,8:32.84,8:39.97,13:36.48,13:49.74,28:34.35,1:16.58,1:18.37,1:48.14,1:50.03,2:19.43,2:22.62,3:42.02,3:45.64,3:59.58,4:03.92,5:05.47,5:09.39,5:35.08,8:39.76
1081,7:55.80,7:59.58,8:32.66,8:39.79,13:36.19,13:49.46,28:33.69,1:16.55,1:18.35,1:48.11,1:49.99,2:19.38,2:22.57,3:41.94,3:45.56,3:59.50,4:03.84,5:05.36,5:09.29,5:34.93,8:39.53
1082,7:55.63,7:59.42,8:32.48,8:39.61,13:35.90,13:49.17,28:33.02,1:16.53,1:18.32,1:48.07,1:49.96,2:19.34,2:22.53,3:41.87,3:45.49,3:59.42,4:03.76,5:05.26,5:09.19,5:34.78,8:39.30
1083,7:55.46,7:59.25,8:32.30,8:39.43,13:35.62,13:48.89,28:32.36,1:16.51,1:18.30,1:48.04,1:49.93,2:19.29,2:22.48,3:41.79,3:45.42,3:59.34,4:03.68,5:05.16,5:09.09,5:34.63,8:39.07
1084,7:55.29,7:59.08,8:32.12,8:39.25,13:35.33,13:48.61,28:31.70,1:16.48,1:18.27,1:48.00,1:49.89,2:19.25,2:22.44,3:41.72,3:45.34,3:59.26,4:03.60,5:05.06,5:08.99,5:34.48,8:38.84
1085,7:55.13,7:58.92,8:31.94,8:39.07,13:35.04,13:48.33,28:31.03,1:16.46,1:18.25,1:47.97,1:49.86,2:19.20,2:22.39,3:41.64,3:45.27,3:59.18,4:03.52,5:04.95,5:08.89,5:34.33,8:38.61
1086,7:54.96,7:58.75,8:31.75,8:38.89,13:34.75,13:48.05,28:30.37,1:16.43,1:18.23,1:47.94,1:49.82,2:19.16,2:22.35,3:41.57,3:45.19,3:59.10,4:03.44,5:04.85,5:08.78,5:34.18,8:38.38
1087,7:54.79,7:58.58,8:31.57,8:38.71,13:34.46,13:47.76,28:29.71,1:16.41,1:18.20,1:47.90,1:49.79,2:19.11,2:22.30,3:41.49,3:45.12,3:59.02,4:03.36,5:04.75,5:08.68,5:34.03,8:38.14
1088,7:54.62,7:58.42,8:31.39,8:38.53,13:34.18,13:47.48,28:29.05,1:16.38,1:18.18,1:47.87,1:49.75,2:19.07,2:22.26,3:41.41,3:45.05,3:58.93,4:03.28,5:04.64,5:08.58,5:33.88,8:37.91
1089,7:54.45,7:58.25,8:31.21,8:38.36,13:33.89,13:47.20,28:28.38,1:16.36,1:18.15,1:47.83,1:49.72,2:19.02,2:22.21,3:41.34,3:44.97,3:58.85,4:03.20,5:04.54,5:08.48,5:33.73,8:37.68
1090,7:54.29,7:58.09,8:31.03,8:38.18,13:33.60,13:46.92,28:27.72,1:16.33,1:18.13,1:47.80,1:49.69,2:18.98,2:22.17,3:41.26,3:44.90,3:58.77,4:03.13,5:04.44,5:08.38,5:33.58,8:37.45
1091,7:54.12,7:57.92,8:30.85,8:38.00,13:33.31,13:46.64,28:27.06,1:16.31,1:18.10,1:47.76,1:49.65,2:18.93,2:22.12,3:41.19,3:44.82,3:58.69,4:03.05,5:04.34,5:08.28,5:33.43,8:37.22
1092,7:53.95,7:57.75,8:30.67,8:37.82,13:33.03,13:46.36,28:26.40,1:16.29,1:18.08,1:47.73,1:49.62,2:18.88,2:22.08,3:41.11,3:44.75,3:58.61,4:02.97,5:04.23,5:08.18,5:33.28,8:36.99
1093,7:53.78,7:57.59,8:30.49,8:37.64,13:32.74,13:46.08,28:25.74,1:16.26,1:18.06,1:47.70,1:49.58,2:18.84,2:22.04,3:41.04,3:44.68,3:58.53,4:02.89,5:04.13,5:08.08,5:33.13,8:36.76
1094,7:53.62,7:57.42,8:30.31,8:37.46,13:32.45,13:45.80,28:25.08,1:16.24,1:18.03,1:47.66,1:49.55,2:18.79,2:21.99,3:40.96,3:44.60,3:58.45,4:02.81,5:04.03,5:07.98,5:32.98,8:36.53
1095,7:53.45,7:57.26,8:30.13,8:37.29,13:32.17,13:45.51,28:24.42,1:16.21,1:18.01,1:47.63,1:49.52,2:18.75,2:21.95,3:40.89,3:44.53,3:58.37,4:02.73,5:03.93,5:07.88,5:32.83,8:36.30
1096,7:53.28,7:57.09,8:29.95,8:37.11,13:31.88,13:45.23,28:23.76,1:16.19,1:17.98,1:47.60,1:49.48,2:18.70,2:21.90,3:40.81,3:44.45,3:58.29,4:02.65,5:03.83,5:07.78,5:32.68,8:36.07
1097,7:53.11,7:56.93,8:29.77,8:36.93,13:31.59,13:44.95,28:23.10,1:16.16,1:17.96,1:47.56,1:49.45,2:18.66,2:21.86,3:40.74,3:44.38,3:58.21,4:02.57,5:03.72,5:07.68,5:32.53,8:35.84
1098,7:52.95,7:56.76,8:29.59,8:36.75,13:31.31,13:44.67,28:22.44,1:16.14,1:17.93,1:47.53,1:49.41,2:18.61,2:21.81,3:40.66,3:44.31,3:58.13,4:02.50,5:03.62,5:07.58,5:32.38,8:35.61
1099,7:52.78,7:56.59,8:29.41,8:36.58,13:31.02,13:44.39,28:21.78,1:16.12,1:17.91,1:47.49,1:49.38,2:18.57,2:21.77,3:40.59,3:44.23,3:58.05,4:02.42,5:03.52,5:07.48,5:32.23,8:35.38
1100,7:52.61,7:56.43,8:29.23,8:36.40,13:30.73,13:44.11,28:21.12,1:16.09,1:17.89,1:47.46,1:49.35,2:18.52,2:21.72,3:40.52,3:44.16,3:57.97,4:02.34,5:03.42,5:07.38,5:32.08,8:35.15
1101,7:52.45,7:56.26,8:29.05,8:36.22,13:30.45,13:43.83,28:20.46,1:16.07,1:17.86,1:47.43,1:49.31,2:18.48,2:21.68,3:40.44,3:44.09,3:57.89,4:02.26,5:03.31,5:07.28,5:31.93,8:34.92
1102,7:52.28,7:56.10,8:28.87,8:36.04,13:30.16,13:43.55,28:19.80,1:16.04,1:17.84,1:47.39,1:49.28,2:18.43,2:21.63,3:40.37,3:44.01,3:57.81,4:02.18,5:03.21,5:07.18,5:31.78,8:34.69
1103,7:52.11,7:55.93,8:28.69,8:35.87,13:29.88,13:43.27,28:19.15,1:16.02,1:17.81,1:47.36,1:49.24,2:18.39,2:21.59,3:40.29,3:43.94,3:57.73,4:02.10,5:03.11,5:07.08,5:31.64,8:34.46
1104,7:51.95,7:55.77,8:28.51,8:35.69,13:29.59,13:42.99,28:18.49,1:15.99,1:17.79,1:47.32,1:49.21,2:18.34,2:21.54,3:40.22,3:43.87,3:57.65,4:02.02,5:03.01,5:06.98,5:31.49,8:34.24
1105,7:51.78,7:55.60,8:28.33,8:35.51,13:29.31,13:42.72,28:17.83,1:15.97,1:17.77,1:47.29,1:49.18,2:18.30,2:21.50,3:40.14,3:43.79,3:57.56,4:01.95,5:02.91,5:06.88,5:31.34,8:34.01
1106,7:51.61,7:55.44,8:28.15,8:35.33,13:29.02,13:42.44,28:17.17,1:15.95,1:17.74,1:47.26,1:49.14,2:18.25,2:21.45,3:40.07,3:43.72,3:57.48,4:01.87,5:02.80,5:06.78,5:31.19,8:33.78
1107,7:51.45,7:55.27,8:27.97,8:35.16,13:28.74,13:42.16,28:16.52,1:15.92,1:17.72,1:47.22,1:49.11,2:18.21,2:21.41,3:39.99,3:43.65,3:57.40,4:01.79,5:02.70,5:06.68,5:31.04,8:33.55
1108,7:51.28,7:55.11,8:27.79,8:34.98,13:28.45,13:41.88,28:15.86,1:15.90,1:17.69,1:47.19,1:49.08,2:18.17,2:21.37,3:39.92,3:43.57,3:57.32,4:01.71,5:02.60,5:06.58,5:30.89,8:33.32
1109,7:51.11,7:54.95,8:27.61,8:34.80,13:28.17,13:41.60,28:15.21,1:15.87,1:17.67,1:47.16,1:49.04,2:18.12,2:21.32,3:39.84,3:43.50,3:57.24,4:01.63,5:02.50,5:06.48,5:30.74,8:33.09
1110,7:50.95,7:54.78,8:27.44,8:34.63,13:27.88,13:41.32,28:14.55,1:15.85,1:17.65,1:47.12,1:49.01,2:18.08,2:21.28,3:39.77,3:43.43,3:57.16,4:01.56,5:02.40,5:06.38,5:30.59,8:32.86
1111,7:50.78,7:54.62,8:27.26,8:34.45,13:27.60,13:41.04,28:13.89,1:15.82,1:17.62,1:47.09,1:48.97,2:18.03,2:21.23,3:39.69,3:43.35,3:57.08,4:01.48,5:02.30,5:06.28,5:30.45,8:32.63
1112,7:50.61,7:54.45,8:27.08,8:34.27,13:27.31,13:40.76,28:13.24,1:15.80,1:17.60,1:47.05,1:48.94,2:17.99,2:21.19,3:39.62,3:43.28,3:57.00,4:01.40,5:02.19,5:06.18,5:30.30,8:32.41
1113,7:50.45,7:54.29,8:26.90,8:34.10,13:27.03,13:40.48,28:12.58,1:15.78,1:17.57,1:47.02,1:48.91,2:17.94,2:21.14,3:39.55,3:43.21,3:56.92,4:01.32,5:02.09,5:06.08,5:30.15,8:32.18
1114,7:50.28,7:54.12,8:26.72,8:33.92,13:26.74,13:40.21,28:11.93,1:15.75,1:17.55,1:46.99,1:48.87,2:17.90,2:21.10,3:39.47,3:43.13,3:56.84,4:01.24,5:01.99,5:05.98,5:30.00,8:31.95
1115,7:50.12,7:53.96,8:26.54,8:33.74,13:26.46,13:39.93,28:11.28,1:15.73,1:17.53,1:46.95,1:48.84,2:17.85,2:21.05,3:39.40,3:43.06,3:56.76,4:01.17,5:01.89,5:05.88,5:29.85,8:31.72
1116,7:49.95,7:53.80,8:26.36,8:33.57,13:26.17,13:39.65,28:10.62,1:15.70,1:17.50,1:46.92,1:48.81,2:17.81,2:21.01,3:39.32,3:42.99,3:56.68,4:01.09,5:01.79,5:05.78,5:29.71,8:31.49
1117,7:49.79,7:53.63,8:26.18,8:33.39,13:25.89,13:39.37,28:09.97,1:15.68,1:17.48,1:46.89,1:48.77,2:17.76,2:20.97,3:39.25,3:42.91,3:56.60,4:01.01,5:01.69,5:05.68,5:29.56,8:31.27
1118,7:49.62,7:53.47,8:26.01,8:33.22,13:25.61,13:39.09,28:09.31,1:15.66,1:17.45,1:46.85,1:48.74,2:17.72,2:20.92,3:39.17,3:42.84,3:56.52,4:00.93,5:01.59,5:05.58,5:29.41,8:31.04
1119,7:49.45,7:53.30,8:25.83,8:33.04,13:25.32,13:38.82,28:08.66,1:15.63,1:17.43,1:46.82,1:48.70,2:17.67,2:20.88,3:39.10,3:42.77,3:56.44,4:00.85,5:01.49,5:05.48,5:29.26,8:30.81
1120,7:49.29,7:53.14,8:25.65,8:32.86,13:25.04,13:38.54,28:08.01,1:15.61,1:17.41,1:46.78,1:48.67,2:17.63,2:20.83,3:39.03,3:42.70,3:56.36,4:00.78,5:01.38,5:05.38,5:29.11,8:30.58
1121,7:49.12,7:52.98,8:25.47,8:32.69,13:24.76,13:38.26,28:07.36,1:15.58,1:17.38,1:46.75,1:48.64,2:17.58,2:20.79,3:38.95,3:42.62,3:56.28,4:00.70,5:01.28,5:05.28,5:28.97,8:30.36
1122,7:48.96,7:52.81,8:25.29,8:32.51,13:24.47,13:37.98,28:06.70,1:15.56,1:17.36,1:46.72,1:48.60,2:17.54,2:20.74,3:38.88,3:42.55,3:56.21,4:00.62,5:01.18,5:05.18,5:28.82,8:30.13
1123,7:48.79,7:52.65,8:25.12,8:32.34,13:24.19,13:37.71,28:06.05,1:15.54,1:17.33,1:46.68,1:48.57,2:17.50,2:20.70,3:38.80,3:42.48,3:56.13,4:00.54,5:01.08,5:05.08,5:28.67,8:29.90
1124,7:48.63,7:52.48,8:24.94,8:32.16,13:23.91,13:37.43,28:05.40,1:15.51,1:17.31,1:46.65,1:48.54,2:17.45,2:20.66,3:38.73,3:42.40,3:56.05,4:00.47,5:00.98,5:04.98,5:28.52,8:29.68
1125,7:48.46,7:52.32,8:24.76,8:31.98,13:23.62,13:37.15,28:04.75,1:15.49,1:17.29,1:46.62,1:48.50,2:17.41,2:20.61,3:38.66,3:42.33,3:55.97,4:00.39,5:00.88,5:04.88,5:28.38,8:29.45
1126,7:48.30,7:52.16,8:24.58,8:31.81,13:23.34,13:36.88,28:04.10,1:15.46,1:17.26,1:46.58,1:48.47,2:17.36,2:20.57,3:38.58,3:42.26,3:55.89,4:00.31,5:00.78,5:04.78,5:28.23,8:29.22
1127,7:48.13,7:51.99,8:24.40,8:31.63,13:23.06,13:36.60,28:03.45,1:15.44,1:17.24,1:46.55,1:48.44,2:17.32,2:20.52,3:38.51,3:42.19,3:55.81,4:00.23,5:00.68,5:04.69,5:28.08,8:28.99
1128,7:47.97,7:51.83,8:24.23,8:31.46,13:22.78,13:36.32,28:02.80,1:15.42,1:17.21,1:46.52,1:48.40,2:17.27,2:20.48,3:38.43,3:42.11,3:55.73,4:00.15,5:00.58,5:04.59,5:27.93,8:28.77
1129,7:47.80,7:51.67,8:24.05,8:31.28,13:22.49,13:36.05,28:02.15,1:15.39,1:17.19,1:46.48,1:48.37,2:17.23,2:20.43,3:38.36,3:42.04,3:55.65,4:00.08,5:00.48,5:04.49,5:27.79,8:28.54
1130,7:47.64,7:51.51,8:23.87,8:31.11,13:22.21,13:35.77,28:01.50,1:15.37,1:17.17,1:46.45,1:48.34,2:17.18,2:20.39,3:38.29,3:41.97,3:55.57,4:00.00,5:00.37,5:04.39,5:27.64,8:28.31
1131,7:47.47,7:51.34,8:23.69,8:30.93,13:21.93,13:35.50,28:00.85,1:15.34,1:17.14,1:46.42,1:48.30,2:17.14,2:20.35,3:38.21,3:41.90,3:55.49,3:59.92,5:00.27,5:04.29,5:27.49,8:28.09
1132,7:47.31,7:51.18,8:23.52,8:30.76,13:21.65,13:35.22,28:00.20,1:15.32,1:17.12,1:46.38,1:48.27,2:17.10,2:20.30,3:38.14,3:41.82,3:55.41,3:59.85,5:00.17,5:04.19,5:27.35,8:27.86
1133,7:47.14,7:51.02,8:23.34,8:30.58,13:21.37,13:34.94,27:59.55,1:15.30,1:17.10,1:46.35,1:48.23,2:17.05,2:20.26,3:38.07,3:41.75,3:55.33,3:59.77,5:00.07,5:04.09,5:27.20,8:27.64
1134,7:46.98,7:50.85,8:23.16,8:30.41,13:21.08,13:34.67,27:58.90,1:15.27,1:17.07,1:46.32,1:48.20,2:17.01,2:20.21,3:37.99,3:41.68,3:55.25,3:59.69,4:59.97,5:03.99,5:27.05,8:27.41
1135,7:46.81,7:50.69,8:22.99,8:30.23,13:20.80,13:34.39,27:58.25,1:15.25,1:17.05,1:46.28,1:48.17,2:16.96,2:20.17,3:37.92,3:41.61,3:55.17,3:59.61,4:59.87,5:03.89,5:26.91,8:27.18
1136,7:46.65,7:50.53,8:22.81,8:30.06,13:20.52,13:34.12,27:57.60,1:15.22,1:17.02,1:46.25,1:48.13,2:16.92,2:20.13,3:37.85,3:41.53,3:55.09,3:59.54,4:59.77,5:03.80,5:26.76,8:26.96
1137,7:46.49,7:50.37,8:22.63,8:29.88,13:20.24,13:33.84,27:56.95,1:15.20,1:17.00,1:46.22,1:48.10,2:16.87,2:20.08,3:37.77,3:41.46,3:55.01,3:59.46,4:59.67,5:03.70,5:26.61,8:26.73
1138,7:46.32,7:50.20,8:22.45,8:29.71,13:19.96,13:33.57,27:56.31,1:15.18,1:16.98,1:46.18,1:48.07,2:16.83,2:20.04,3:37.70,3:41.39,3:54.93,3:59.38,4:59.57,5:03.60,5:26.47,8:26.51
1139,7:46.16,7:50.04,8:22.28,8:29.53,13:19.68,13:33.29,27:55.66,1:15.15,1:16.95,1:46.15,1:48.03,2:16.79,2:20.00,3:37.62,3:41.32,3:54.86,3:59.30,4:59.47,5:03.50,5:26.32,8:26.28
1140,7:45.99,7:49.88,8:22.10,8:29.36,13:19.40,13:33.02,27:55.01,1:15.13,1:16.93,1:46.12,1:48.00,2:16.74,2:19.95,3:37.55,3:41.24,3:54.78,3:59.23,4:59.37,5:03.40,5:26.17,8:26.06
1141,7:45.83,7:49.72,8:21.92,8:29.19,13:19.12,13:32.74,27:54.37,1:15.11,1:16.91,1:46.08,1:47.97,2:16.70,2:19.91,3:37.48,3:41.17,3:54.70,3:59.15,4:59.27,5:03.30,5:26.03,8:25.83
1142,7:45.67,7:49.55,8:21.75,8:29.01,13:18.83,13:32.47,27:53.72,1:15.08,1:16.88,1:46.05,1:47.93,2:16.65,2:19.86,3:37.40,3:41.10,3:54.62,3:59.07,4:59.17,5:03.20,5:25.88,8:25.61
1143,7:45.50,7:49.39,8:21.57,8:28.84,13:18.55,13:32.19,27:53.07,1:15.06,1:16.86,1:46.02,1:47.90,2:16.61,2:19.82,3:37.33,3:41.03,3:54.54,3:59.00,4:59.07,5:03.11,5:25.73,8:25.38
1144,7:45.34,7:49.23,8:21.40,8:28.66,13:18.27,13:31.92,27:52.43,1:15.03,1:16.83,1:45.98,1:47.87,2:16.56,2:19.78,3:37.26,3:40.96,3:54.46,3:58.92,4:58.97,5:03.01,5:25.59,8:25.15
1145,7:45.17,7:49.07,8:21.22,8:28.49,13:17.99,13:31.64,27:51.78,1:15.01,1:16.81,1:45.95,1:47.83,2:16.52,2:19.73,3:37.18,3:40.88,3:54.38,3:58.84,4:58.87,5:02.91,5:25.44,8:24.93
1146,7:45.01,7:48.91,8:21.04,8:28.31,13:17.71,13:31.37,27:51.14,1:14.99,1:16.79,1:45.92,1:47.80,2:16.48,2:19.69,3:37.11,3:40.81,3:54.30,3:58.77,4:58.77,5:02.81,5:25.30,8:24.71
1147,7:44.85,7:48.74,8:20.87,8:28.14,13:17.43,13:31.09,27:50.49,1:14.96,1:16.76,1:45.88,1:47.77,2:16.43,2:19.64,3:37.04,3:40.74,3:54.22,3:58.69,4:58.67,5:02.71,5:25.15,8:24.48
1148,7:44.68,7:48.58,8:20.69,8:27.97,13:17.15,13:30.82,27:49.85,1:14.94,1:16.74,1:45.85,1:47.73,2:16.39,2:19.60,3:36.96,3:40.67,3:54.15,3:58.61,4:58.57,5:02.61,5:25.00,8:24.26
1149,7:44.52,7:48.42,8:20.51,8:27.79,13:16.87,13:30.55,27:49.20,1:14.91,1:16.72,1:45.82,1:47.70,2:16.34,2:19.56,3:36.89,3:40.60,3:54.07,3:58.53,4:58.47,5:02.52,5:24.86,8:24.03
1150,7:44.36,7:48.26,8:20.34,8:27.62,13:16.59,13:30.27,27:48.56,1:14.89,1:16.69,1:45.78,1:47.67,2:16.30,2:19.51,3:36.82,3:40.52,3:53.99,3:58.46,4:58.37,5:02.42,5:24.71,8:23.81
