Points,3000m,3000m sh,2 Miles,2 Miles sh,5000m,5000m sh,10000m,600m,600m sh,800m,800m sh,1000m,1000m sh,1500m,1500m sh,Mile,Mile sh,2000m,2000m sh,2000m SC,3000m SC
91,12:14.33,12:15.43,13:11.02,13:14.65,20:59.01,21:02.85,45:33.26,1:54.13,1:55.72,2:40.56,2:42.52,3:29.03,3:31.73,5:37.69,5:39.45,6:04.08,6:05.33,7:43.40,7:44.54,9:25.68,14:34.79
92,12:13.75,12:14.85,13:10.40,13:14.03,20:58.01,21:01.88,45:30.98,1:54.05,1:55.64,2:40.44,2:42.41,3:28.87,3:31.57,5:37.43,5:39.19,6:03.80,6:05.06,7:43.05,7:44.19,9:25.16,14:33.99
93,12:13.17,12:14.28,13:09.78,13:13.42,20:57.03,21:00.92,45:28.71,1:53.97,1:55.55,2:40.32,2:42.29,3:28.72,3:31.42,5:37.17,5:38.94,6:03.52,6:04.79,7:42.69,7:43.85,9:24.65,14:33.20
94,12:12.60,12:13.72,13:09.16,13:12.81,20:56.05,20:59.96,45:26.45,1:53.88,1:55.47,2:40.21,2:42.17,3:28.56,3:31.27,5:36.91,5:38.69,6:03.24,6:04.52,7:42.34,7:43.50,9:24.14,14:32.42
95,12:12.03,12:13.15,13:08.55,13:12.21,20:55.07,20:59.00,45:24.20,1:53.80,1:55.39,2:40.09,2:42.06,3:28.41,3:31.11,5:36.66,5:38.44,6:02.97,6:04.26,7:42.00,7:43.16,9:23.63,14:31.63
96,12:11.46,12:12.59,13:07.94,13:11.61,20:54.10,20:58.05,45:21.97,1:53.72,1:55.31,2:39.98,2:41.94,3:28.26,3:30.96,5:36.40,5:38.19,6:02.70,6:03.99,7:41.65,7:42.82,9:23.12,14:30.85
97,12:10.90,12:12.03,13:07.33,13:11.01,20:53.13,20:57.11,45:19.75,1:53.64,1:55.22,2:39.86,2:41.83,3:28.11,3:30.81,5:36.15,5:37.94,6:02.43,6:03.72,7:41.31,7:42.48,9:22.62,14:30.08
98,12:10.34,12:11.48,13:06.73,13:10.41,20:52.17,20:56.17,45:17.53,1:53.56,1:55.14,2:39.75,2:41.71,3:27.95,3:30.66,5:35.90,5:37.69,6:02.16,6:03.46,7:40.96,7:42.14,9:22.12,14:29.31
99,12:09.78,12:10.93,13:06.13,13:09.82,20:51.22,20:55.23,45:15.33,1:53.47,1:55.06,2:39.63,2:41.60,3:27.80,3:30.51,5:35.65,5:37.44,6:01.89,6:03.20,7:40.62,7:41.81,9:21.62,14:28.54
100,12:09.23,12:10.38,13:05.53,13:09.23,20:50.27,20:54.30,45:13.14,1:53.39,1:54.98,2:39.52,2:41.49,3:27.65,3:30.36,5:35.40,5:37.20,6:01.62,6:02.94,7:40.28,7:41.48,9:21.13,14:27.78
